,participant,condition,list,trial_id,phase,target,foil,distractor,target_to_distractor,target_to_foil,distractor_to_target,distractor_to_foil,foil_to_target,foil_to_distractor,informative_target,informative_foil
0,P20,ambig,A,A1,start,fish1,fish2,playdoh,0,2,1,0,1,1,False,False
0,P20,ambig,A,A1,elmo,fish1,fish2,playdoh,0,3,0,0,2,0,False,False
0,P20,ambig,A,A1,500ms pause,fish1,fish2,playdoh,0,0,0,0,0,0,False,False
0,P20,ambig,A,A1,peppa,fish1,fish2,playdoh,0,2,0,0,0,0,False,False
0,P20,ambig,A,A8,start,tree1,tree2,pencil,0,1,0,0,1,0,False,False
0,P20,ambig,A,A8,elmo,tree1,tree2,pencil,0,1,2,0,0,0,False,False
0,P20,ambig,A,A8,500ms pause,tree1,tree2,pencil,0,0,0,0,0,0,False,False
0,P20,ambig,A,A8,peppa,tree1,tree2,pencil,0,5,0,0,4,0,False,False
0,P20,ambig,A,A3,start,clock1,clock2,cake,2,1,2,0,1,0,False,False
0,P20,ambig,A,A3,elmo,clock1,clock2,cake,0,0,0,0,0,0,False,False
0,P20,ambig,A,A3,500ms pause,clock1,clock2,cake,0,0,0,0,0,0,False,False
0,P20,ambig,A,A3,peppa,clock1,clock2,cake,0,2,0,2,1,0,False,False
0,P20,ambig,A,A6,start,spoon1,spoon2,comb,0,1,0,0,0,0,False,False
0,P20,ambig,A,A6,elmo,spoon1,spoon2,comb,0,2,2,0,0,0,False,False
0,P20,ambig,A,A6,500ms pause,spoon1,spoon2,comb,0,0,0,0,0,0,False,False
0,P20,ambig,A,A6,peppa,spoon1,spoon2,comb,0,0,0,0,0,0,False,False
0,P20,control,A,A15,start,chair1,dog2,kangaroo,0,0,0,2,0,2,False,False
0,P20,control,A,A15,elmo,chair1,dog2,kangaroo,0,0,0,0,0,0,False,False
0,P20,control,A,A15,500ms pause,chair1,dog2,kangaroo,0,0,0,0,0,0,False,False
0,P20,control,A,A15,peppa,chair1,dog2,kangaroo,0,0,0,2,0,0,False,False
0,P20,control,A,A9,start,bike1,bird2,candle,2,0,1,1,1,0,False,False
0,P20,control,A,A9,start,bike1,bird2,candle,3,1,3,0,0,1,False,False
0,P20,control,A,A9,500ms pause,bike1,bird2,candle,0,0,0,0,0,0,False,False
