,Condition,List,Participant,Phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space,target_fixate_dur,foil_fixate_dur,distractor_fixate_dur
86,ambiguous,B,P26,elmo,7,B8,tree2,tree1,pencil,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.8,466.6,0.0
87,control,B,P26,elmo,8,B16,dog2,bike1,rainbow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,633.0,0.0,0.0
88,ambiguous,B,P26,elmo,9,B1,fish2,fish1,playdoh,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.9,666.5999999999999,133.4
89,ambiguous,B,P26,elmo,10,B3,clock2,clock1,cake,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,100.0
90,ambiguous,B,P26,elmo,11,B7,toothbrush2,toothbrush1,door,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.8000000000002,0.0,0.0
91,ambiguous,B,P26,elmo,12,B6,spoon2,spoon1,comb,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.6,900.1,0.0
92,control,B,P26,elmo,13,B9,bike2,bird1,candle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.3,0.0,0.0
93,ambiguous,B,P26,elmo,14,B4,cup2,cup1,dress,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.5,0.0,0.0
94,control,B,P26,elmo,15,B11,book2,bus1,apple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0
95,control,B,P26,elmo,16,B15,chair2,dog1,kangaroo,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.3,0.0,366.6
