condition,List,participant,phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space
control,C,P03,elmo,12,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,13,C2,bird1,bird2,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,14,C3,book1,book2,apple,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,C,P03,elmo,15,C14,spoon1,toothbrush2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,16,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,1,B7,toothbrush2,toothbrush1,door,1,1,0,0,0,0,1,0,0,1,0,0,0,0
control,B,P30,elmo,2,B13,car2,cat1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,3,B3,clock2,clock1,cake,1,1,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P30,elmo,4,B12,bus2,car1,flashlight,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,5,B6,spoon2,spoon1,comb,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,B,P30,elmo,6,B16,dog2,bike1,rainbow,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P30,elmo,7,B15,chair2,dog1,kangaroo,1,0,0,0,0,0,0,0,0,1,0,0,0,0
control,B,P30,elmo,8,B10,bird2,book1,playground,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P30,elmo,9,B4,cup2,cup1,dress,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,10,B5,shoe2,shoe1,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P30,elmo,11,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,12,B1,fish2,fish1,playdoh,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P30,elmo,13,B11,book2,bus1,apple,0,0,0,0,0,0,0,0,0,0,0,1,0,0
control,B,P30,elmo,14,B14,cat2,chair1,hairbrush,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,15,B8,tree2,flower1,pencil,1,0,1,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P30,elmo,16,B2,flower2,flower1,cane,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ambig,C,P40,elmo,1,C4,bus1,bus2,torch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,2,C16,tree1,fish2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,3,C3,book1,book2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,4,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
