participant,TrialID,PresentationID,List,condition,phase,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,distractor_to_White Space,White Space_to_target,White Space_to_foil,White Space_to_distractor
P12,D3,8,D,ambig,elmo,book2,book1,apple,1,1,0,1,0,0,0,0,1,0,0,0,0,0
P12,D3,8,D,ambig,500ms,book2,book1,apple,1,1,0,0,0,0,1,0,0,1,0,0,0,0
P12,D3,8,D,ambig,peppa,book2,book1,apple,1,1,0,1,0,1,1,0,0,3,0,0,0,0
P12,D4,9,D,ambig,start,bus2,bus1,torch,1,1,1,0,0,0,2,0,1,1,0,0,0,0
P12,D4,9,D,ambig,elmo,bus2,bus1,torch,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P12,D4,9,D,ambig,500ms,bus2,bus1,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P12,D4,9,D,ambig,peppa,bus2,bus1,torch,1,1,0,0,0,1,0,0,0,0,0,0,0,0
P12,D1,10,D,ambig,start,bike2,bike1,candle,1,1,1,0,0,0,2,0,1,0,0,0,1,0
P12,D1,10,D,ambig,elmo,bike2,bike1,candle,1,1,1,1,0,1,0,0,1,0,0,1,0,0
P12,D1,10,D,ambig,500ms,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P12,D1,10,D,ambig,peppa,bike2,bike1,candle,1,1,3,0,0,2,0,0,0,0,0,0,0,0
P12,D15,11,D,control,start,toothbrush2,tree1,door,0,0,0,1,0,0,3,0,1,2,0,0,0,0
P12,D15,11,D,control,elmo,toothbrush2,tree1,door,0,0,1,0,0,0,1,0,2,0,0,0,0,0
P12,D15,11,D,control,500ms,toothbrush2,tree1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,D15,11,D,control,peppa,toothbrush2,tree1,door,0,0,0,1,0,1,1,0,0,2,0,0,0,0
P12,D8,12,D,ambig,start,dog2,dog1,rainbow,1,1,2,0,0,1,1,0,1,0,0,0,0,0
P12,D8,12,D,ambig,elmo,dog2,dog1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P12,D8,12,D,ambig,500ms,dog2,dog1,rainbow,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P12,D8,12,D,ambig,peppa,dog2,dog1,rainbow,1,1,0,0,0,0,1,0,0,1,0,0,0,0
P12,D9,13,D,control,start,fish2,flower1,playdoh,0,0,2,0,0,0,1,0,1,0,0,0,0,0
P12,D9,13,D,control,elmo,fish2,flower1,playdoh,0,0,0,1,0,1,1,0,0,1,1,1,0,0
P12,D9,13,D,control,500ms,fish2,flower1,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,D9,13,D,control,peppa,fish2,flower1,playdoh,0,0,1,0,0,1,1,0,0,1,0,0,0,0
P12,D7,14,D,ambig,start,chair2,chair1,kangaroo,1,1,0,0,0,0,1,1,0,1,0,0,0,1
P12,D7,14,D,ambig,elmo,chair2,chair1,kangaroo,1,1,1,0,0,0,2,0,1,1,0,0,0,0
P12,D7,14,D,ambig,500ms,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P12,D7,14,D,ambig,peppa,chair2,chair1,kangaroo,1,1,0,0,0,0,0,1,0,1,0,0,0,0
P12,D13,15,D,control,start,shoe2,spoon1,paintbrush,1,0,0,2,0,1,0,0,1,0,1,1,1,0
P12,D13,15,D,control,elmo,shoe2,spoon1,paintbrush,1,0,0,0,1,0,0,0,0,0,0,1,0,0
P12,D13,15,D,control,500ms,shoe2,spoon1,paintbrush,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,D13,15,D,control,peppa,shoe2,spoon1,paintbrush,1,0,1,0,0,0,1,0,0,0,1,0,0,0
P12,D10,16,D,control,start,flower2,cup1,cane,1,1,1,0,0,0,0,0,1,0,0,0,0,0
P12,D10,16,D,control,elmo,flower2,cup1,cane,1,1,2,0,0,2,0,0,0,0,0,0,0,0
P12,D10,16,D,control,500ms,flower2,cup1,cane,1,1,0,0,0,0,1,0,0,0,0,0,0,0
P12,D10,16,D,control,peppa,flower2,cup1,cane,1,1,0,0,0,0,0,0,0,1,0,0,0,0
P38,A13,1,A,control,start,car1,cat2,dolphin,1,0,1,1,0,1,0,0,1,1,0,0,0,0
P38,A13,1,A,control,elmo,car1,cat2,dolphin,1,0,0,0,0,0,1,0,1,0,0,0,0,0
P38,A13,1,A,control,500ms,car1,cat2,dolphin,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P38,A13,1,A,control,peppa,car1,cat2,dolphin,1,0,1,0,0,1,0,0,0,0,0,0,0,0
P38,A7,2,A,ambig,start,toothbrush1,toothbrush2,door,1,1,1,0,0,0,1,0,1,1,0,0,0,0
P38,A7,2,A,ambig,elmo,toothbrush1,toothbrush2,door,1,1,1,0,2,2,0,0,1,0,0,1,0,1
P38,A7,2,A,ambig,500ms,toothbrush1,toothbrush2,door,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P38,A7,2,A,ambig,peppa,toothbrush1,toothbrush2,door,1,1,1,0,0,1,1,0,0,1,0,0,0,0
P38,A5,3,A,ambig,start,shoe1,shoe2,paintbrush,0,1,1,1,0,0,1,0,1,0,0,0,0,0
P38,A5,3,A,ambig,elmo,shoe1,shoe2,paintbrush,0,1,1,1,0,1,0,0,2,0,0,0,0,0
P38,A5,3,A,ambig,500ms,shoe1,shoe2,paintbrush,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P38,A5,3,A,ambig,peppa,shoe1,shoe2,paintbrush,0,1,2,0,1,3,0,0,0,0,0,0,1,0
P38,A8,4,A,ambig,start,flower1,tree2,pencil,1,1,1,0,0,0,2,0,1,0,0,0,0,0
P38,A8,4,A,ambig,elmo,flower1,tree2,pencil,1,1,1,0,0,1,0,0,1,0,0,0,0,0
P38,A8,4,A,ambig,500ms,flower1,tree2,pencil,1,1,0,1,0,0,0,0,0,0,0,0,0,0
P38,A8,4,A,ambig,peppa,flower1,tree2,pencil,1,1,0,0,0,0,0,0,0,1,0,0,0,0
P38,A12,5,A,control,start,bus1,car2,flashlight,1,1,1,0,0,0,2,0,2,1,0,0,0,0
P38,A12,5,A,control,elmo,bus1,car2,flashlight,1,1,1,0,0,1,0,0,0,0,0,0,0,0
P38,A12,5,A,control,500ms,bus1,car2,flashlight,1,1,0,0,0,0,0,0,0,0,0,0,0,0
