RECORDING_SESSION_LABEL	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
KidSubjExpt2-79	RIGHT	383.12	3046	0.4614	0.5714	8	Pre_Targ 	1	.	2	6602	14	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Target	6824498	6808857	Same	Ambig
KidSubjExpt2-79	RIGHT	392.5	382	0.0579	0.1429	2	Pre_D1 	2	.	1	6602	14	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Target	6824498	6808857	Same	Ambig
KidSubjExpt2-79	RIGHT	353	3174	0.4808	0.2857	4	Pre_D2 	3	.	2	6602	14	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Target	6824498	6808857	Same	Ambig
KidSubjExpt2-79	RIGHT	331.5	1252	0.646	0.3333	2	Pre_Targ 	1	.	1	1938	6	Same_Control_toothbrush1.jpg	"(147, 90)"	toothbrush1.jpg	Target	6852609	6832704	Same	Control
KidSubjExpt2-79	RIGHT	368.5	304	0.1569	0.3333	2	Pre_D1 	2	.	1	1938	6	Same_Control_toothbrush1.jpg	"(147, 90)"	toothbrush1.jpg	Target	6852609	6832704	Same	Control
KidSubjExpt2-79	RIGHT	261	382	0.1971	0.3333	2	Pre_D2 	3	.	1	1938	6	Same_Control_toothbrush1.jpg	"(147, 90)"	toothbrush1.jpg	Target	6852609	6832704	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Control_penguin1.jpg	"(477, 554)"	penguin1.jpg	Target	6872284	6861415	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_penguin1.jpg	"(477, 554)"	penguin1.jpg	Target	6872284	6861415	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Control_penguin1.jpg	"(477, 554)"	penguin1.jpg	Target	6872284	6861415	Same	Control
KidSubjExpt2-79	RIGHT	312	112	1	1	1	Pre_Targ 	1	.	1	112	1	Same_Ambig_cat1.jpg	"(477, 554)"	cat1.jpg	Target	6895730	6888567	Same	Ambig
