RECORDING_SESSION_LABEL	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	622	2	Same_Ambig_cat1.jpg	"(753, 90)"	cat1.jpg	Reward	2437278	2436112	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	622	2	Same_Ambig_cat1.jpg	"(753, 90)"	cat1.jpg	Reward	2437278	2436112	Same	Ambig
KidSubjExpt2-66	RIGHT	392	570	0.508	0.5	2	Pre_Targ 	1	.	1	1122	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Reward	2447447	2446282	Same	Control
KidSubjExpt2-66	RIGHT	423.5	552	0.492	0.5	2	Pre_D1 	2	.	1	1122	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Reward	2447447	2446282	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1122	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Reward	2447447	2446282	Same	Control
KidSubjExpt2-66	RIGHT	405.5	804	1	1	2	Pre_Targ 	1	.	1	804	2	Same_Ambig_bus1.jpg	"(147, 90)"	bus1.jpg	Reward	2457312	2456146	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	804	2	Same_Ambig_bus1.jpg	"(147, 90)"	bus1.jpg	Reward	2457312	2456146	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	804	2	Same_Ambig_bus1.jpg	"(147, 90)"	bus1.jpg	Reward	2457312	2456146	Same	Ambig
KidSubjExpt2-66	RIGHT	412	676	1	1	2	Pre_Targ 	1	.	1	676	2	Same_Control_flower1.jpg	"(147, 90)"	flower1.jpg	Reward	2468788	2467622	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	676	2	Same_Control_flower1.jpg	"(147, 90)"	flower1.jpg	Reward	2468788	2467622	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	676	2	Same_Control_flower1.jpg	"(147, 90)"	flower1.jpg	Reward	2468788	2467622	Same	Control
KidSubjExpt2-66	RIGHT	380.67	808	1	1	3	Pre_Targ 	1	.	1	808	3	Same_Ambig_chair1.jpg	"(477, 554)"	chair1.jpg	Reward	2478759	2477593	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	808	3	Same_Ambig_chair1.jpg	"(477, 554)"	chair1.jpg	Reward	2478759	2477593	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	808	3	Same_Ambig_chair1.jpg	"(477, 554)"	chair1.jpg	Reward	2478759	2477593	Same	Ambig
KidSubjExpt2-66	RIGHT	421.5	624	1	1	2	Pre_Targ 	1	.	1	624	2	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Reward	2490382	2489216	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	624	2	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Reward	2490382	2489216	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	624	2	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Reward	2490382	2489216	Same	Ambig
KidSubjExpt2-66	RIGHT	394	718	0.8196	0.5	1	Pre_Targ 	1	.	1	876	2	Same_Control_tree1.jpg	"(147, 90)"	tree1.jpg	Reward	2500912	2499747	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	876	2	Same_Control_tree1.jpg	"(147, 90)"	tree1.jpg	Reward	2500912	2499747	Same	Control
KidSubjExpt2-66	RIGHT	426	158	0.1804	0.5	1	Pre_D2 	3	.	1	876	2	Same_Control_tree1.jpg	"(147, 90)"	tree1.jpg	Reward	2500912	2499747	Same	Control
KidSubjExpt2-66	RIGHT	469	240	0.3093	0.3333	1	Pre_Targ 	1	.	1	776	3	Same_Control_leaf1.jpg	"(753, 90)"	leaf1.jpg	Reward	2511496	2510330	Same	Control
KidSubjExpt2-66	RIGHT	420	536	0.6907	0.6667	2	Pre_D1 	2	.	1	776	3	Same_Control_leaf1.jpg	"(753, 90)"	leaf1.jpg	Reward	2511496	2510330	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	776	3	Same_Control_leaf1.jpg	"(753, 90)"	leaf1.jpg	Reward	2511496	2510330	Same	Control
KidSubjExpt2-66	RIGHT	317	1470	1	1	2	Pre_Targ 	1	.	1	1470	2	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Reward	2522399	2521234	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1470	2	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Reward	2522399	2521234	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1470	2	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Reward	2522399	2521234	Same	Ambig
KidSubjExpt2-66	RIGHT	367	686	0.4985	0.5	2	Pre_Targ 	1	.	2	1376	4	Same_Control_penguin1.jpg	"(753, 90)"	penguin1.jpg	Reward	2533143	2531977	Same	Control
KidSubjExpt2-66	RIGHT	374.5	690	0.5015	0.5	2	Pre_D1 	2	.	1	1376	4	Same_Control_penguin1.jpg	"(753, 90)"	penguin1.jpg	Reward	2533143	2531977	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1376	4	Same_Control_penguin1.jpg	"(753, 90)"	penguin1.jpg	Reward	2533143	2531977	Same	Control
KidSubjExpt2-66	RIGHT	291	1366	0.8893	0.5	1	Pre_Targ 	1	.	1	1536	2	Same_Ambig_car1.jpg	"(477, 554)"	car1.jpg	Reward	2544660	2543494	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1536	2	Same_Ambig_car1.jpg	"(477, 554)"	car1.jpg	Reward	2544660	2543494	Same	Ambig
KidSubjExpt2-66	RIGHT	312	170	0.1107	0.5	1	Pre_D2 	3	.	1	1536	2	Same_Ambig_car1.jpg	"(477, 554)"	car1.jpg	Reward	2544660	2543494	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_Targ 	1	.	0	304	2	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Reward	6825699	6824533	Same	Ambig
KidSubjExpt2-79	RIGHT	462	104	0.3421	0.5	1	Pre_D1 	2	.	1	304	2	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Reward	6825699	6824533	Same	Ambig
KidSubjExpt2-79	RIGHT	530	200	0.6579	0.5	1	Pre_D2 	3	.	1	304	2	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Reward	6825699	6824533	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Control_toothbrush1.jpg	"(147, 90)"	toothbrush1.jpg	Reward	6853810	6852644	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_toothbrush1.jpg	"(147, 90)"	toothbrush1.jpg	Reward	6853810	6852644	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Control_toothbrush1.jpg	"(147, 90)"	toothbrush1.jpg	Reward	6853810	6852644	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Control_penguin1.jpg	"(477, 554)"	penguin1.jpg	Reward	6873485	6872319	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_penguin1.jpg	"(477, 554)"	penguin1.jpg	Reward	6873485	6872319	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Control_penguin1.jpg	"(477, 554)"	penguin1.jpg	Reward	6873485	6872319	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Ambig_cat1.jpg	"(477, 554)"	cat1.jpg	Reward	6896931	6895765	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Ambig_cat1.jpg	"(477, 554)"	cat1.jpg	Reward	6896931	6895765	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Ambig_cat1.jpg	"(477, 554)"	cat1.jpg	Reward	6896931	6895765	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Reward	6917605	6916440	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Reward	6917605	6916440	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Reward	6917605	6916440	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_Targ 	1	.	0	910	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Reward	6933893	6932728	Same	Control
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	910	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Reward	6933893	6932728	Same	Control
KidSubjExpt2-79	RIGHT	419.5	910	1	1	4	Pre_D2 	3	.	1	910	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Reward	6933893	6932728	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Ambig_chair1.jpg	"(753, 90)"	chair1.jpg	Reward	6945184	6944017	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Ambig_chair1.jpg	"(753, 90)"	chair1.jpg	Reward	6945184	6944017	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Ambig_chair1.jpg	"(753, 90)"	chair1.jpg	Reward	6945184	6944017	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Control_leaf1.jpg	"(477, 554)"	leaf1.jpg	Reward	6958713	6957547	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_leaf1.jpg	"(477, 554)"	leaf1.jpg	Reward	6958713	6957547	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Control_leaf1.jpg	"(477, 554)"	leaf1.jpg	Reward	6958713	6957547	Same	Control
KidSubjExpt2-79	RIGHT	394.33	1184	0.863	0.75	3	Pre_Targ 	1	.	2	1372	4	Same_Ambig_book1.jpg	"(753, 90)"	book1.jpg	Reward	6978401	6977235	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1372	4	Same_Ambig_book1.jpg	"(753, 90)"	book1.jpg	Reward	6978401	6977235	Same	Ambig
KidSubjExpt2-79	RIGHT	425	188	0.137	0.25	1	Pre_D2 	3	.	1	1372	4	Same_Ambig_book1.jpg	"(753, 90)"	book1.jpg	Reward	6978401	6977235	Same	Ambig
KidSubjExpt2-79	RIGHT	248.5	374	0.4474	0.5714	4	Pre_Targ 	1	.	1	836	7	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Reward	6989118	6987952	Same	Control
KidSubjExpt2-79	RIGHT	463.67	462	0.5526	0.4286	3	Pre_D1 	2	.	1	836	7	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Reward	6989118	6987952	Same	Control
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	836	7	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Reward	6989118	6987952	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Reward	7003034	7001868	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Reward	7003034	7001868	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Reward	7003034	7001868	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Control_shoe1.jpg	"(147, 90)"	shoe1.jpg	Reward	7016443	7015277	Same	Control
KidSubjExpt2-79	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_shoe1.jpg	"(147, 90)"	shoe1.jpg	Reward	7016443	7015277	Same	Control
