,Ambig_trial_ID,foil_duration_L,foil_duration_R,foil_fixations_L,foil_fixations_R,informative_foil,participant_number,target_duration_L,target_duration_R,target_fixations_L,target_fixations_R
66,A2,100246,0,1,0,0,P29,0,0,0,0
67,A6,99948,99948,1,1,0,P17,300000,300000,1,1
68,A1,433302,433302,1,1,0,P17,0,0,0,0
69,A2,0,0,0,0,0,P17,466090,466090,1,1
70,B7,466363,466363,1,1,1,P30,0,0,0,0
71,B3,299961,299961,1,1,1,P30,0,0,0,0
72,B6,166653,166653,1,1,1,P30,0,266567,0,1
73,B4,266504,333230,1,1,1,P30,0,0,0,0
74,B5,0,0,0,0,0,P30,0,0,0,0
75,B1,0,0,0,0,0,P30,0,0,0,0
76,B8,0,0,0,0,0,P30,300193,300193,1,1
77,B2,0,0,0,0,0,P30,366646,366646,1,1
78,C3,166563,166563,1,1,0,P11,133315,133315,1,1
79,C1,466520,466520,1,1,0,P11,0,0,0,0
80,C2,0,0,0,0,0,P11,399900,399900,1,1
81,C5,0,0,0,0,1,P11,333311,333311,1,1
82,C4,433205,333243,2,2,0,P11,0,0,0,0
83,C8,0,0,0,0,0,P11,466542,433203,1,2
84,D7,0,0,0,0,1,P04,465869,465869,1,1
85,D3,0,0,0,0,1,P04,366620,366620,1,1
86,D6,0,0,0,0,0,P04,433105,266533,2,1
87,D4,0,0,0,0,1,P04,466485,0,1,0
88,D2,0,0,0,0,1,P04,433149,466509,1,1
89,D5,0,0,0,0,1,P04,299748,266808,2,2
90,D1,0,0,0,0,1,P04,99981,0,1,0
91,A6,0,0,0,0,0,P05,0,0,0,0
92,A3,0,0,0,0,0,P05,0,0,0,0
93,A1,233173,233173,1,1,0,P05,0,0,0,0
94,A4,200193,233518,1,1,0,P05,166506,166506,1,1
95,A2,400185,466842,2,1,0,P05,0,0,0,0
96,A5,0,0,0,0,0,P05,99991,366748,1,1
97,A7,0,0,0,0,0,P05,233348,399916,2,2
98,A7,166647,166647,1,1,0,P09,0,0,0,0
99,A6,0,0,0,0,0,P09,0,0,0,0
100,A2,0,0,0,0,0,P09,0,100046,0,1
101,A5,433266,433266,2,2,0,P09,0,0,0,0
102,A3,199993,166656,1,1,0,P09,0,0,0,0
103,D6,0,0,0,0,0,P32,466756,466756,1,1
104,D5,0,0,0,0,1,P32,166716,166716,1,1
105,D8,0,0,0,0,1,P32,399921,433236,1,1
